"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Calf Extension (Machine)",,"",0,"warmup",110,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Calf Extension (Machine)",,"",1,"normal",120,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Calf Extension (Machine)",,"",2,"normal",120,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Crunch (Machine)",,"",0,"warmup",50,20,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Crunch (Machine)",,"",1,"normal",50,20,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Torso Rotation",,"",0,"warmup",110,15,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Torso Rotation",,"",1,"normal",110,15,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Torso Rotation",,"",2,"normal",100,10,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Torso Rotation",,"",3,"normal",100,10,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Back Extension (Machine)",,"",0,"warmup",115,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Back Extension (Machine)",,"",1,"normal",125,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Back Extension (Machine)",,"",2,"normal",130,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Leg Press Horizontal (Machine)",,"",0,"normal",150,10,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Leg Press Horizontal (Machine)",,"",1,"normal",130,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",0,"warmup",55,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",1,"normal",65,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",2,"normal",65,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Hammer Strength Row",,"",0,"warmup",165,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Hammer Strength Row",,"",1,"normal",175,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Hammer Strength Row",,"",2,"normal",185,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Back Extension (Machine)",,"",0,"warmup",110,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Back Extension (Machine)",,"",1,"normal",120,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Back] Back Extension (Machine)",,"",2,"normal",130,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Bench Press (Smith Machine)",,"",0,"warmup",60,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Bench Press (Smith Machine)",,"",1,"normal",80,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Bench Press (Smith Machine)",,"",2,"normal",90,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Triceps] Seated Triceps Press",,"",0,"warmup",105,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Triceps] Seated Triceps Press",,"",1,"normal",110,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","[Triceps] Seated Triceps Press",,"",2,"normal",110,12,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Pull Up (Assisted)",,"",0,"normal",70,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Pull Up (Assisted)",,"",1,"normal",55,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Pull Up (Assisted)",,"",2,"normal",55,10,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Crunch (Machine)",,"",0,"warmup",50,20,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Torso Rotation",,"",0,"warmup",110,15,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Torso Rotation",,"",1,"normal",110,15,,,
"Upper","May 6, 2026, 8:32 AM","May 6, 2026, 9:32 AM","","Torso Rotation",,"",2,"normal",105,8,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Seated Leg Curl (Machine)",,"",0,"warmup",80,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Seated Leg Curl (Machine)",,"",1,"normal",100,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Seated Leg Curl (Machine)",,"",2,"normal",110,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Leg Press (Machine)",,"",0,"warmup",200,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Leg Press (Machine)",,"",1,"normal",220,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Leg Press (Machine)",,"",2,"normal",220,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Glute Bridge (Machine)",,"",0,"warmup",215,17,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Glute Bridge (Machine)",,"",1,"normal",225,17,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Glute Bridge (Machine)",,"",2,"normal",225,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Calf Extension (Machine)",,"",0,"warmup",115,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Calf Extension (Machine)",,"",1,"normal",120,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Calf Extension (Machine)",,"",2,"normal",125,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Hip Abduction (Machine)",,"",0,"warmup",115,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Hip Abduction (Machine)",,"",1,"normal",120,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Torso Rotation",,"",0,"warmup",110,15,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Torso Rotation",,"",1,"normal",110,15,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Back Extension (Machine)",,"",0,"warmup",120,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Back Extension (Machine)",,"",1,"normal",130,12,,,
"Lower","May 5, 2026, 8:50 AM","May 5, 2026, 9:42 AM","","Back Extension (Machine)",,"",2,"normal",130,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] High Row",,"",0,"warmup",95,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] High Row",,"",1,"normal",115,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] High Row",,"",2,"normal",115,9,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",0,"warmup",55,10,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",1,"normal",55,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Seated Cable Row (Neutral Grip)",,"",2,"normal",55,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Chest-Supported T-Bar Row",,"",0,"warmup",60,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Chest-Supported T-Bar Row",,"",1,"normal",70,10,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Chest-Supported T-Bar Row",,"",2,"normal",75,10,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",0,"warmup",120,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",1,"normal",130,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",2,"normal",140,13,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",0,"warmup",80,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",1,"normal",100,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",2,"normal",110,9,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Bench Press (Smith Machine)",,"",0,"warmup",60,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Bench Press (Smith Machine)",,"",1,"normal",70,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Bench Press (Smith Machine)",,"",2,"normal",80,10,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Shoulders] Shoulder Press (Machine)",,"",0,"warmup",40,5,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Shoulders] Shoulder Press (Machine)",,"",1,"normal",40,5,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Shoulders] Shoulder Press (Machine)",,"",2,"normal",30,7,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",0,"warmup",110,10,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",1,"normal",120,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",2,"normal",110,12,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Crunch (Machine)",,"",0,"warmup",60,20,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Torso Rotation",,"",0,"warmup",105,15,,,
"Upper","May 4, 2026, 8:58 AM","May 4, 2026, 10:04 AM","","Torso Rotation",,"",1,"normal",105,15,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Seated Leg Curl (Machine)",,"",0,"warmup",80,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Seated Leg Curl (Machine)",,"",1,"normal",100,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Seated Leg Curl (Machine)",,"",2,"normal",105,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Extension (Machine)",,"",0,"warmup",100,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Extension (Machine)",,"",1,"normal",100,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Extension (Machine)",,"",2,"normal",95,7,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Press (Machine)",,"",0,"warmup",180,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Press (Machine)",,"",1,"normal",210,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Leg Press (Machine)",,"",2,"normal",210,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Glute Bridge (Machine)",,"",0,"warmup",205,17,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Glute Bridge (Machine)",,"",1,"normal",225,17,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Glute Bridge (Machine)",,"",2,"normal",225,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Hip Abduction (Machine)",,"",0,"warmup",100,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Hip Abduction (Machine)",,"",1,"normal",120,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Hip Abduction (Machine)",,"",2,"normal",130,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Torso Rotation",,"",0,"warmup",110,15,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Torso Rotation",,"",1,"normal",110,15,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Back Extension (Machine)",,"",0,"warmup",130,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Back Extension (Machine)",,"",1,"normal",140,12,,,
"Lower","Apr 30, 2026, 11:37 AM","Apr 30, 2026, 12:27 PM","","Back Extension (Machine)",,"",2,"normal",130,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Hammer Strength Row",,"",0,"warmup",165,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Hammer Strength Row",,"",1,"normal",165,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Hammer Strength Row",,"",2,"normal",165,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Back Extension (Machine)",,"",0,"warmup",120,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Back Extension (Machine)",,"",1,"normal",130,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Back] Back Extension (Machine)",,"",2,"normal",120,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Chest] Decline Chest Press",,"",0,"warmup",80,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Chest] Decline Chest Press",,"",1,"normal",100,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Chest] Decline Chest Press",,"",2,"normal",100,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Biceps] Preacher Curl (Machine)",,"",0,"warmup",35,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Biceps] Preacher Curl (Machine)",,"",1,"normal",45,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Biceps] Preacher Curl (Machine)",,"",2,"normal",45,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Triceps] Seated Triceps Press",,"",0,"warmup",100,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Triceps] Seated Triceps Press",,"",1,"normal",120,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","[Triceps] Seated Triceps Press",,"",2,"normal",120,12,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Pull Up (Assisted)",,"",0,"normal",70,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Pull Up (Assisted)",,"",1,"normal",60,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Pull Up (Assisted)",,"",2,"normal",60,10,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Crunch (Machine)",,"",0,"warmup",60,20,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Torso Rotation",,"",0,"warmup",100,15,,,
"Upper","Apr 29, 2026, 8:28 AM","Apr 29, 2026, 9:30 AM","","Torso Rotation",,"",1,"normal",100,15,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Seated Leg Curl (Machine)",,"",0,"warmup",75,15,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Seated Leg Curl (Machine)",,"",1,"normal",90,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Seated Leg Curl (Machine)",,"",2,"normal",100,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Leg Extension (Machine)",,"",0,"warmup",90,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Leg Extension (Machine)",,"",1,"normal",100,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Leg Extension (Machine)",,"",2,"normal",90,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Glute Bridge (Machine)",,"",0,"warmup",185,17,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Glute Bridge (Machine)",,"",1,"normal",205,17,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Glute Bridge (Machine)",,"",2,"normal",215,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Calf Extension (Machine)",,"",0,"warmup",110,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Calf Extension (Machine)",,"",1,"normal",120,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Calf Extension (Machine)",,"",2,"normal",125,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Standing Cable Glute Kickbacks",,"",0,"warmup",100,10,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Standing Cable Glute Kickbacks",,"",1,"normal",100,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Standing Cable Glute Kickbacks",,"",2,"normal",115,10,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Standing Cable Glute Kickbacks",,"",3,"normal",115,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Hip Abduction (Machine)",,"",0,"warmup",100,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Hip Abduction (Machine)",,"",1,"normal",105,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Hip Abduction (Machine)",,"",2,"normal",110,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Crunch (Machine)",,"",0,"warmup",60,20,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Crunch (Machine)",,"",1,"normal",50,20,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Crunch (Machine)",,"",2,"normal",50,20,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Back Extension (Machine)",,"",0,"warmup",125,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Back Extension (Machine)",,"",1,"normal",135,12,,,
"Lower","Apr 28, 2026, 9:34 AM","Apr 28, 2026, 10:37 AM","","Back Extension (Machine)",,"",2,"normal",90,7,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Hammer Strength Row",,"",0,"warmup",165,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Hammer Strength Row",,"",1,"normal",165,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Hammer Strength Row",,"",2,"normal",185,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Hammer Strength Row",,"",3,"normal",140,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Chest-Supported T-Bar Row",,"",0,"warmup",60,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Chest-Supported T-Bar Row",,"",1,"normal",70,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Chest-Supported T-Bar Row",,"",2,"normal",70,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Back Extension (Machine)",,"",0,"warmup",130,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Back Extension (Machine)",,"",1,"normal",140,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Back] Back Extension (Machine)",,"",2,"normal",120,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Lat Pulldown (Cable)",,"",0,"warmup",75,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Lat Pulldown (Cable)",,"",1,"normal",85,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Lat Pulldown (Cable)",,"",2,"normal",100,8,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Chest] Decline Chest Press",,"",0,"warmup",60,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","[Chest] Decline Chest Press",,"",1,"normal",60,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Bench Press (Smith Machine)",,"",0,"warmup",60,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Bench Press (Smith Machine)",,"",1,"normal",70,12,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Bench Press (Smith Machine)",,"",2,"normal",70,10,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Crunch (Machine)",,"",0,"warmup",60,20,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Crunch (Machine)",,"",1,"normal",50,20,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Torso Rotation",,"",0,"warmup",100,15,,,
"Upper","Apr 27, 2026, 8:46 AM","Apr 27, 2026, 9:49 AM","","Torso Rotation",,"",1,"normal",100,15,,,
"Upper","Apr 24, 2026, 8:53 AM","Apr 24, 2026, 9:49 AM","","[Back] Hammer Strength Row",,"",0,"warmup",160,10,,,
